,,,,,,,
,,,,,,,
,,,,,,,
,numero,nome,partido,uf,twitter,facebook,instagram
,60,Reguffe,S/SIGLA,DF,https://twitter.com/Reguffe,https://www.facebook.com/reguffeoficial/,https://www.instagram.com/reguffe/
,61,Renan Calheiros,PMDB,AL,https://twitter.com/renancalheiros,https://www.facebook.com/renancalheirosoficial/,/
,62,Ricardo Ferraço,PSDB,ES,https://twitter.com/RicardoFerraco,https://www.facebook.com/RicardoFerraco/,https://www.instagram.com/ricardoferraco/
,63,Roberto Muniz,PP,BA,/,/,/
,64,Roberto Requião,PMDB,PR,https://twitter.com/requiaopmdb,https://www.facebook.com/robertorequiao/,https://www.instagram.com/requiaopmdb/
,,Roberto Rocha,PSB,MA,https://twitter.com/robertorocha400,https://www.facebook.com/robertorocha400/,https://www.instagram.com/robertorocha400/
,65,Romário,PODEMOS,RJ,https://twitter.com/RomarioOnze,https://www.facebook.com/romariodesouzafaria/,https://www.instagram.com/romariofaria/
,66,Romero Jucá,PMDB,RR,https://twitter.com/romerojuca,https://www.facebook.com/senromerojuca/,https://www.instagram.com/senromerojuca/
,67,Ronaldo Caiado,DEM,GO,https://twitter.com/ronaldocaiado,https://www.facebook.com/ronaldocaiado25/,https://www.instagram.com/ronaldocaiado/
,68,Rose de Freitas,PMDB,ES,https://twitter.com/senadorarose,https://www.facebook.com/senadorarosedefreitas/,/
,69,Sérgio Petecão,PSD,AC,https://twitter.com/senadorpetecao,https://www.facebook.com/sergiopetecao/,/
,70,Simone Tebet,PMDB,MS,https://twitter.com/SimoneTebetms,https://www.facebook.com/simonetebet/,https://www.instagram.com/simonetebet/
,71,Tasso Jereissati,PSDB,CE,https://twitter.com/tassocomvoce,https://www.facebook.com/tassocomvoce/,https://www.instagram.com/tassocomvoce/
,72,Telmário Mota,PTB,RR,https://twitter.com/TelmarioMotaRR,https://www.facebook.com/telmariomotarr/,https://www.instagram.com/telmariomotarr
,,Thieres Pinto,PTB,RR,/,/,/
,73,Valdir Raupp,PMDB,RO,https://twitter.com/SENADORRAUPP,https://www.facebook.com/senadorrauppro/,/
,74,Vanessa Grazziotin,PCDOB,AM,https://twitter.com/vanessasenadora,https://www.facebook.com/VanessaGrazziotin/,https://www.instagram.com/vanessagrazziotin/
,75,Vicentinho Alves,PR,TO,https://twitter.com/SenVicentinho,https://www.facebook.com/vicentinhoalves/?ref=br_rs,/
,76,Virginio de Carvalho,PSC,SE,/,https://www.facebook.com/senadorvirginiodecarvalho/,/
,77,Waldemir Moka,PMDB,MS,https://twitter.com/senadormoka,https://www.facebook.com/SenadorWaldemirMOKA/,https://instagram.com/senadormoka/
,78,Wellington Fagundes,PR,MT,https://twitter.com/sen_wellington,https://www.facebook.com/wellington.fagundes.mt/,https://www.instagram.com/wellingtonfagundes222/
,79,Wilder Morais,PP,GO,https://twitter.com/wildermorais,https://www.facebook.com/wildermorais/,https://www.instagram.com/wildermorais/
,80,Zeze Perrella,PMDB,MG,https://twitter.com/zezeperrella,https://www.facebook.com/zezeperrella/,https://www.instagram.com/zezeperrella/
