id,name,party,party_n,state,description1,description2,source,twitter,facebook,instagram
78,Simone Tebet,PMDB,15,MS,"Simone Nassar Tebet (Três Lagoas, 22 de fevereiro de 1970) é uma advogada, professora e política brasileira. Foi prefeita de Três Lagoas (MS) e vice-governadora do Mato Grosso do Sul.","É filha do político Ramez Tebet, senador e ex-presidente do Congresso Nacional falecido em 2006. Formou-se em Direito pela Universidade Federal do Rio de Janeiro.",Wikipédia,SimoneTebetms,simonetebet,simonetebet
79,Tasso Jereissati,PSDB,45,CE,"Tasso Ribeiro Jereissati (Fortaleza, 15 de dezembro de 1948) é senador da República pelo PSDB. Governou o Ceará em três gestões: 1987-1990, 1995-1998 e 1999-2002.","Filho de Carlos Jereissati e Maria de Lourdes Ribeiro Jereissati, é formado em Administração de Empresas pela FGV.",Wikipédia,tassocomvoce,tassocomvoce,tassocomvoce
80,Telmário Mota,PTB,14,RR,"Telmário Mota de Oliveira (Normandia, 15 de fevereiro de 1958) é um contador e político brasileiro, filiado ao Partido Trabalhista Brasileiro.","Em 2016, foi o relator do Processo de cassação de Delcídio Amaral que foi aprovado por unanimidade no Senado Federal.",Wikipédia,TelmarioMotaRR,telmariomotarr,telmariomotarr
81,Thieres Pinto,PTB,14,RR,"Thieres Pinto de Mesquita Filho (Santa Quitéria, 27 de abril de 1962) é um empresário e político brasileiro, filiado ao Partido Trabalhista Brasileiro. Em 2014, foi eleito primeiro suplente do senador Telmário Mota.","Em dezembro de 2016, após licença de Telmário Mota, Thieres Pinto chegou a tomar posse para o exercício do mandato.",Wikipédia,,,
82,Valdir Raupp,PMDB,15,RO,"Valdir Raupp de Matos (São João do Sul, 24 de agosto de 1955) é um político brasileiro, filiado ao Partido do Movimento Democrático Brasileiro.","Catarinense, migrou para Rondônia em 1977. Em 1982, elegeu-se vereador em Cacoal. Dois anos depois, tornou-se o primeiro prefeito de Rolim de Moura, sendo reeleito para o cargo em 1992.",Wikipédia,SENADORRAUPP,senadorrauppro,
83,Vanessa Grazziotin,PCdoB,65,AM,"Vanessa Grazziotin (Videira, 29 de junho de 1961) é uma farmacêutica e senadora filiada ao Partido Comunista do Brasil.","É casada com Eron Bezerra, ex-deputado estadual do Amazonas e ex-secretário de Estado de Produção Rural do estado.",Wikipédia,vanessasenadora,VanessaGrazziotin,vanessagrazziotin
84,Vicentinho Alves,PR,22,TO,"Vicente Alves de Oliveira (Porto Nacional, 1º de outubro de 1957) é um político brasileiro. Conhecido como Vicentinho Alves, é pecuarista e piloto comercial.",Prefeito de Porto Nacional de 1989 a 1992. Elegeu-se em 1998 e 2002 deputado estadual.,Wikipédia,SenVicentinho,vicentinhoalves,
85,Virginio de Carvalho,PSC,20,SE,"Virginio José de Carvalho Neto (Aracaju, 17 de abril de 1953) é pastor e presidente da Assembleia de Deus em Sergipe, e também um político brasileiro filiado ao PSC.","Em outubro de 2016, após licença da titular Maria do Carmo Alves e do primeiro suplente Ricardo Franco, assumiu o mandato para o exercício no Senado Federal.",Wikipédia,,senadorvirginiodecarvalho,
86,Waldemir Moka,PMDB,15,MS,"Waldemir Moka Miranda de Britto (Bela Vista, 10 de outubro de 1951) é um médico, professor e senador.","Graduou-se em medicina pela Universidade Federal de Mato Grosso do Sul, em Campo Grande, onde, em 1976, exerceu a presidência diretório acadêmico da faculdade de medicina.",Wikipédia,senadormoka,SenadorWaldemirMOKA,senadormoka
87,Wellington Fagundes,PR,22,MT,"Wellington Antônio Fagundes (Rondonópolis, 1 de junho de 1957) é médico veterinário e senador.","Em 2016 foi o relator da Lei de Diretrizes Orçamentárias (LDO), que orientou a elaboração do Orçamento da União.",Wikipédia,sen_wellington,wellington.fagundes.mt,wellingtonfagundes222
88,Wilder Morais,PP,11,GO,"Wilder Pedro de Morais (Taquaral de Goiás, 29 de junho de 1968) é um empresário, engenheiro civil e político brasileiro.","Com pouco tempo de experiência profissional, criou juntamente com outros sócios, a Orca Construtora, que reformou e construiu edificações da rede Carrefour no país.",Wikipédia,wildermorais,wildermorais,wildermorais
89,Zeze Perrella,PMDB,15,MG,"José Perrella de Oliveira Costa (São Gonçalo do Pará, 22 de fevereiro de 1957), ou Zeze Perella, é um empresário, dirigente esportivo e político brasileiro do estado de Minas Gerais.","Já esteve filiado a PFL, PSDB, PDT e PTB. Atualmente, faz parte da bancada do PMDB no Senado.",Wikipédia,zezeperrella,zezeperrella,zezeperrella
