,,,,,,,,
,,,,,,,,
,,,,,,,,
,numero,nome,voto,voto add,partido,uf,proposicao,data
,77,Waldemir Moka,Sim,,PMDB,MS,plc 39 de 2017,17.mai.2017
,78,Wellington Fagundes,Sim,,PR,MT,plc 39 de 2017,17.mai.2017
,79,Wilder Morais,P,NRV,PP,GO,plc 39 de 2017,17.mai.2017
,80,Zeze Perrella,P,NRV,PMDB,MG,plc 39 de 2017,17.mai.2017
,0,Acir Gurgacz,Sim,,PDT,RO,pec 10 de 2013 1t,26.abr.2017
,1,Aécio Neves,Sim,,PSDB,MG,pec 10 de 2013 1t,26.abr.2017
,2,Airton Sandoval,Sim,,PMDB,SP,pec 10 de 2013 1t,26.abr.2017
,3,Alvaro Dias,Sim,,PODEMOS,PR,pec 10 de 2013 1t,26.abr.2017
,4,Ana Amélia,Sim,,PP,RS,pec 10 de 2013 1t,26.abr.2017
,5,Ângela Portela,Sim,,PDT,RR,pec 10 de 2013 1t,26.abr.2017
,6,Antonio Anastasia,Sim,,PSDB,MG,pec 10 de 2013 1t,26.abr.2017
,7,Antonio Carlos Valadares,Sim,,PSB,SE,pec 10 de 2013 1t,26.abr.2017
,8,Armando Monteiro,Sim,,PTB,PE,pec 10 de 2013 1t,26.abr.2017
,9,Ataídes Oliveira,Sim,,PSDB,TO,pec 10 de 2013 1t,26.abr.2017
,10,Benedito de Lira,Sim,,PP,AL,pec 10 de 2013 1t,26.abr.2017
,11,Cássio Cunha Lima,Sim,,PSDB,PB,pec 10 de 2013 1t,26.abr.2017
,12,Cidinho Santos,Sim,,PR,MT,pec 10 de 2013 1t,26.abr.2017
,13,Ciro Nogueira,Sim,,PP,PI,pec 10 de 2013 1t,26.abr.2017
,14,Cristovam Buarque,Sim,,PPS,DF,pec 10 de 2013 1t,26.abr.2017
,15,Dalirio Beber,Sim,,PSDB,SC,pec 10 de 2013 1t,26.abr.2017
,16,Dário Berger,Sim,,PMDB,SC,pec 10 de 2013 1t,26.abr.2017
